Company Name ,Stock Price End of July,Market Capitalization,Volume ,Industry Name 
Deepak Nitrite Ltd.,3095.95,42227,304664,
LIC Housing Finance Ltd.,748.6,41178,2233217,
APL Apollo Tubes Ltd.,1472.6,40868,287166,
Lloyds Metals & Energy Ltd.,781.55,40856,1297150,
Glenmark Pharmaceuticals Ltd.,1443.05,40721,492863,
Coforge Ltd.,6080,40550,248706,
Nippon Life India Asset Management Ltd.,640.35,40455,599317,
Sona BLW Precision Forgings Ltd.,689.2,40420,1217493,
UPL Ltd.,537.6,40353,6452127,
Tata Technologies Ltd.,992,40242,355341,
Jubilant Foodworks Ltd.,606.7,40033,3121946,
Motilal Oswal Financial Services Ltd.,657.35,39247,900979,
IRB Infrastructure Developers Ltd.,64.49,38946,23803383,
NLC India Ltd.,278.9,38673,3330015,
360 One Wam Ltd.,1056.3,38399,580705,
KEI Industries Ltd.,4246.2,38318,107588,
Mangalore Refinery And Petrochemicals Ltd.,217.97,38201,3043392,
Fortis Healthcare Ltd.,505.7,38178,2056545,
Max Financial Services Ltd.,1105.1,38139,336371,
Mahindra & Mahindra Financial Services Ltd.,305.45,37739,1531887,
Indraprastha Gas Ltd.,538.1,37667,571093,
Metro Brands Ltd.,1349.7,36704,157073,
Gujarat Fluorochemicals Ltd.,3325.65,36532,74729,
Endurance Technologies Ltd.,2540.85,35740,67827,
Ajanta Pharma Ltd.,2828.5,35331,312024,
Sun TV Network Ltd.,892.5,35172,921501,
Gland Pharma Ltd.,2126.65,35037,191983,
BSE Ltd.,2563.7,34706,736612,
Apar Industries Ltd.,8622.4,34635,124521,
Star Health and Allied Insurance Company Ltd.,591.25,34616,311873,
Bandhan Bank Ltd.,212.53,34238,14184491,
Apollo Tyres Ltd.,536.65,34083,2286266,
Aditya Birla Fashion and Retail Ltd.,335.5,34054,3681616,
National Aluminium Company Ltd.,185.21,34016,17401939,
Emami Ltd.,779.25,34014,2271759,
Dalmia Bharat Ltd.,1798.7,33734,133225,
One97 Communications Ltd.,527,33532,13602639,
JK Cement Ltd.,4284.6,33106,98277,
Blue Star Ltd.,1715.15,33039,136180,
Syngene International Ltd.,820.75,33038,360858,
Ipca Laboratories Ltd.,1300.3,32989,714731,
NBCC (India) Ltd.,181.8,32724,20080298,
Global Health Ltd.,1210.05,32496,99501,
Motherson Sumi Wiring India Ltd.,73.02,32283,5947130,
Timken India Ltd.,4272.25,32135,146660,
Carborundum Universal Ltd.,1665.95,31701,148129,
Crisil Ltd.,4311.35,31529,31046,
Tata Investment Corporation Ltd.,6215.8,31449,15450,
Go Digit General Insurance Ltd.,340.15,31199,288114,
Godrej Industries Ltd.,925.8,31176,348147,
ZF Commercial Vehicle Control Systems India Ltd.,16294.25,30906,13368,
Bayer Cropscience Ltd.,6874.55,30896,16355,
Delhivery Ltd.,416.1,30758,14404010,
Hindustan Copper Ltd.,310.15,29992,5220719,
J B Chemicals & Pharmaceuticals Ltd.,1927.35,29915,194311,
KPR Mill Ltd.,864.4,29546,78220,
Amara Raja Energy & Mobility Ltd.,1612.35,29510,679802,
Sundram Fasteners Ltd.,1396.05,29335,56833,
ITI Ltd.,300.85,28908,643764,
Cholamandalam Financial Holdings Ltd.,1538.15,28883,157567,
Hatsun Agro Products Ltd.,1270.55,28301,251454,
Poonawalla Fincorp Ltd.,362.5,28156,2952287,
Crompton Greaves Consumer Electricals Ltd.,437.55,28149,1544041,
Grindwell Norton Ltd.,2529.1,28002,21778,
Kaynes Technology India Ltd.,4353.4,27866,152873,
Brigade Enterprises Ltd.,1198.55,27703,241377,
Tata Chemicals Ltd.,1087,27692,944709,
Vedant Fashions Ltd.,1138.25,27647,73522,
SKF India Ltd.,5566.65,27520,22465,
TVS Holdings Ltd.,13545.25,27405,3800,
Whirlpool of India Ltd.,2131.15,27038,1420318,
Ircon International Ltd.,286,26899,7322309,
Aarti Industries Ltd.,738.4,26768,921991,
Garden Reach Shipbuilders & Engineers Ltd.,2326.6,26652,753818,
KIOCL Ltd.,437.25,26574,100871,
Jyoti CNC Automation Ltd.,1148.65,26123,173027,
EIH Ltd.,417.6,26115,784977,
Gillette India Ltd.,7981.9,26009,56172,
BASF India Ltd.,6007.2,26003,26824,
Jupiter Wagons Ltd.,611.3,25950,1541256,
Pfizer Ltd.,5658.3,25885,11383,
Dr. Lal Pathlabs Ltd.,3096.6,25851,93921,
Aegis Logistics Ltd.,735.35,25811,391255,
Castrol India Ltd.,260.1,25727,10874067,
Central Depository Services (India) Ltd.,2453.2,25636,964648,
Sumitomo Chemical India Ltd.,510.65,25489,910323,
Suven Pharmaceuticals Ltd.,1000.65,25473,1638185,
Ratnamani Metals & Tubes Ltd.,3603.35,25257,20092,
Narayana Hrudayalaya Ltd.,1230.8,25153,222713,
Century Textiles & Industries Ltd.,2251.5,25148,91136,
ICICI Securities Ltd.,762.1,24682,214452,
Emcure Pharmaceuticals Ltd.,1298.3,24551,95697,
Natco Pharma Ltd.,1367.65,24496,591168,
Alembic Pharmaceuticals Ltd.,1245.05,24473,300661,
Kansai Nerolac Paints Ltd.,302.6,24462,931771,
Laurus Labs Ltd.,447.1,24106,2113511,
CESC Ltd.,179.57,23803,10289950,
Finolex Cables Ltd.,1533.4,23452,105085,
Piramal Enterprises Ltd.,1037.65,23397,2275720,
Inox Wind Ltd.,179.38,23387,11276291,
Kajaria Ceramics Ltd.,1460.6,23261,62788,
Vinati Organics Ltd.,2234.35,23163,72481,
Piramal Pharma Ltd.,174.27,23104,3975037,
Himadri Speciality Chemical Ltd.,467.25,23059,3204417,
JBM Auto Ltd.,1947.1,23024,194042,
Atul Ltd.,7790.95,22938,82806,
Radico Khaitan Ltd.,1706.05,22821,107512,
Five-Star Business Finance Ltd.,777.55,22740,420918,
Nuvama Wealth Management Ltd.,6414.4,22708,78792,
KEC International Ltd.,882.3,22683,264603,
Swan Energy Ltd.,720.2,22575,1700314,
Multi Commodity Exchange of India Ltd.,4330.4,22084,537096,
Kalpataru Projects International Ltd.,1350.95,21946,205621,
Elgi Equipments Ltd.,688.35,21814,230204,
CIE Automotive India Ltd.,575,21813,648664,
Godfrey Phillips India Ltd.,4183.15,21750,75083,
NCC Ltd.,344.15,21607,6391652,
Computer Age Management Services Ltd.,4368.5,21502,458252,
Devyani International Ltd.,177.85,21453,2202970,
IFCI Ltd.,81.92,21411,33937915,
PNB Housing Finance Ltd.,810.55,21052,1802886,
Chambal Fertilisers & Chemicals Ltd.,525.45,21052,8034271,
Cello World Ltd.,951.25,21012,63886,
Relaxo Footwears Ltd.,843.65,21002,63798,
CreditAccess Grameen Ltd.,1311.8,20910,177011,
Bata India Ltd.,1619.2,20811,569796,
Affle (India) Ltd.,1482.95,20798,397301,
Jindal Saw Ltd.,650.4,20797,1907068,
Firstsource Solutions Ltd.,297.35,20725,7585463,
Tejas Networks Ltd.,1202.95,20575,364340,
Shyam Metalics and Energy Ltd.,726.9,20290,500008,
Angel One Ltd.,2244.75,20228,1213860,
Titagarh Rail Systems Ltd.,1498.35,20179,2356879,
Signatureglobal (India) Ltd.,1431.95,20120,482448,
PTC Industries Ltd.,13928.6,20114,6866,
V-Guard Industries Ltd.,460.2,20021,507381,
Aditya Birla Sun Life AMC Ltd.,686,19764,211759,
Cyient Ltd.,1770,19628,311067,
The Ramco Cements Ltd.,827.75,19559,1755087,
Trident Ltd.,38.21,19472,11198818,
Gujarat State Petronet Ltd.,342.45,19321,1406968,
Triveni Turbine Ltd.,607.7,19317,375122,
R R Kabel Ltd.,1711.15,19305,180044,
Finolex Industries Ltd.,310.45,19263,308812,
Blue Dart Express Ltd.,8114.85,19255,6365,
Schneider Electric Infrastructure Ltd.,804.75,19242,392852,
Tata Teleservices (Maharashtra) Ltd.,97.99,19156,31794638,
HFCL Ltd.,132.77,19154,47960008,
IIFL Finance Ltd.,450.55,19112,1875542,
Jyothy Labs Ltd.,518.65,19045,411629,
Great Eastern Shipping Company Ltd.,1333.35,19036,843618,
TBO Tek Ltd.,1737.7,18869,20079,
Aster DM Healthcare Ltd.,372.15,18589,3236015,
Bikaji Foods International Ltd.,739.25,18510,3993303,
BEML Ltd.,4439.15,18487,250780,
Sonata Software Ltd.,657.35,18434,1720390,
Techno Electric & Engineering Company Ltd.,1710.45,18408,351710,
Mahanagar Gas Ltd.,1845.85,18233,528477,
Aadhar Housing Finance Ltd.,427.15,18219,436277,
Welspun Living Ltd.,185.07,17985,3012308,
Chalet Hotels Ltd.,822.7,17943,46544,
Navin Fluorine International Ltd.,3606.2,17879,266577,
Authum Investment & Infrastructure Ltd.,1049.9,17832,34079,
Kirloskar Brothers Ltd.,2245.3,17830,170110,
Anant Raj Ltd.,521.5,17830,1185201,
Manappuram Finance Ltd.,209.7,17750,4357379,
Poly Medicure Ltd.,1848.9,17744,323894,
Data Patterns (India) Ltd.,3162.55,17705,241619,
Capri Global Capital Ltd.,214.03,17656,613133,
Karur Vysya Bank Ltd.,219.27,17644,1435866,
AstraZeneca Pharma India Ltd.,7039.8,17600,9235,
Clean Science & Technology Ltd.,1649.8,17531,1151372,
Sobha Ltd.,1731.7,17473,354620,
IDFC Ltd.,108.95,17432,7541895,
Indian Energy Exchange Ltd.,195.32,17417,33779275,
Rites Ltd.,722.6,17364,1604774,
Zensar Technologies Ltd.,762.4,17281,1352152,
Welspun Corp Ltd.,652.5,17113,838057,
Kirloskar Oil Engines Ltd.,1178.6,17099,237094,
Krishna Institute of Medical Sciences Ltd.,2125.85,17013,13219,
Fine Organic Industries Ltd.,5461,16743,32169,
HBL Power Systems Ltd.,603.7,16734,1212245,
IndiaMART InterMESH Ltd.,2788.75,16727,431280,
Birlasoft Ltd.,605.35,16726,8573646,
NMDC Steel Ltd.,57.01,16707,4313911,
Jai Balaji Industries Ltd.,911.2,16625,75369,
Concord Biotech Ltd.,1579.3,16522,75538,
DCM Shriram Ltd.,1058.85,16512,135342,
KSB Ltd.,947.6,16492,136062,
Lakshmi Machine Works Ltd.,15240.55,16281,5147,
G R Infraprojects Ltd.,1680.55,16249,150202,
Railtel Corporation of India Ltd.,501.6,16098,5675727,
MMTC Ltd.,107.23,16085,11195465,
Supreme Petrochem Ltd.,854.45,16067,64265,
Ramkrishna Forgings Ltd.,887.2,16038,5200543,
Action Construction Equipment Ltd.,1343.55,15999,261185,
Godrej Agrovet Ltd.,826.2,15885,757714,
Century Plyboards (India) Ltd.,713.2,15845,144021,
Redington Ltd.,202.53,15833,878390,
Aptus Value Housing Finance India Ltd.,316.6,15798,711060,
Granules India Ltd.,646.1,15659,4020175,
Asahi India Glass Ltd.,641.25,15588,70703,
Anand Rathi Wealth Ltd.,3712.25,15410,20394,
Sterling and Wilson Renewable Energy Ltd.,658.6,15368,730037,
Bombay Burmah Trading Corporation Ltd.,2196.55,15326,36472,
Eris Lifesciences Ltd.,1121,15254,339441,
Vardhman Textiles Ltd.,526.45,15224,162973,
Godawari Power & Ispat Ltd.,1117.35,15190,243002,
Sanofi India Ltd.,6567,15124,6636,
Chennai Petroleum Corporation Ltd.,1002.65,14931,456511,
Amber Enterprises India Ltd.,4389.5,14810,699150,
Honasa Consumer Ltd.,455.15,14758,179736,
BLS International Services Ltd.,357.6,14724,981477,
KFIN Technologies Ltd.,858.05,14703,713048,
PVR INOX Ltd.,1470.85,14434,206704,
Zydus Wellness Ltd.,2261.1,14388,311907,
Zen Technologies Ltd.,1709.5,14367,687925,
Newgen Software Technologies Ltd.,1021.25,14327,120512,
Engineers India Ltd.,253.6,14253,2584519,
PCBL Ltd.,376.9,14227,35128581,
Neuland Laboratories Ltd.,11077.75,14213,449228,
Akzo Nobel India Ltd.,3117.5,14197,45104,
DOMS Industries Ltd.,2308.55,14010,146675,
Indegene Ltd.,580,13878,837008,
Reliance Power Ltd.,34.54,13875,99408426,
Wockhardt Ltd.,899.45,13798,249835,
Voltamp Transformers Ltd.,13627,13787,14969,
Olectra Greentech Ltd.,1677.55,13769,356505,
RBL Bank Ltd.,226.9,13760,5849428,
Zee Entertainment Enterprises Ltd.,142.66,13703,13396158,
Elecon Engineering Company Ltd.,608.4,13652,721180,
EID Parry (India) Ltd.,767.3,13621,879835,
TTK Prestige Ltd.,979.15,13572,651009,
Jaiprakash Power Ventures Ltd.,19.79,13563,62121631,
Jubilant Pharmova Ltd.,851.4,13561,1115086,
Ingersoll-Rand (India) Ltd.,4289.95,13543,15439,
NAVA Ltd.,923.15,13395,338689,
Electrosteel Castings Ltd.,215.03,13293,3602682,
Aavas Financiers Ltd.,1673.4,13243,270782,
Netweb Technologies India Ltd.,2346.05,13224,361723,
Shipping Corporation of India Ltd.,283.75,13217,3699944,
UTI Asset Management Company Ltd.,1035.55,13190,158550,
Tanla Platforms Ltd.,980.4,13182,842885,
Raymond Ltd.,1979.9,13181,428631,
Intellect Design Arena Ltd.,946.15,13045,127858,
Alok Industries Ltd.,26.19,13004,6125501,
Jammu & Kashmir Bank Ltd.,116.96,12879,58317725,
Craftsman Automation Ltd.,5348.6,12759,49440,
Praj Industries Ltd.,691.15,12704,430836,
Tega Industries Ltd.,1901.6,12652,15082,
Westlife Foodworld Ltd.,810.35,12636,99019,
Gujarat Mineral Development Corporation Ltd.,395.35,12572,875410,
Minda Corporation Ltd.,522.95,12503,986136,
Caplin Point Laboratories Ltd.,1639.35,12461,330143,
PNC Infratech Ltd.,484.75,12436,380406,
RHI Magnesita India Ltd.,599.1,12372,249240,
City Union Bank Ltd.,166.92,12363,6569213,
C.E. Info Systems Ltd.,2276.35,12309,73770,
Happiest Minds Technologies Ltd.,806,12273,392389,
KPI Green Energy Ltd.,1010.1,12178,738693,
Deepak Fertilisers & Petrochemicals Corporation Ltd.,961.7,12140,3153233,
Nuvoco Vistas Corporation Ltd.,338,12072,368004,
Rainbow Childrens Medicare Ltd.,1188.7,12071,89404,
Aether Industries Ltd.,905.7,12005,63184,
eClerx Services Ltd.,2439.95,11962,32620,
Happy Forgings Ltd.,1269.35,11958,45648,
Force Motors Ltd.,9051.95,11927,27828,
Inox India Ltd.,1292.75,11733,190864,
Rashtriya Chemicals & Fertilizers Ltd.,211.84,11687,4700474,
Cera Sanitaryware Ltd.,8938.9,11626,5598,
Lemon Tree Hotels Ltd.,146.74,11625,2379079,
Birla Corporation Ltd.,1509.55,11624,127887,
HMT Ltd.,96.42,11610,162891,
Genus Power Infrastructures Ltd.,380.25,11550,4992735,
India Cements Ltd.,372.05,11530,5880176,
Valor Estate Ltd.,213.69,11506,6808804,
Puravankara Ltd.,484.75,11496,165201,
Gravita India Ltd.,1664.1,11489,203252,
Bajaj Electricals Ltd.,995.9,11476,26525,
PG Electroplast Ltd.,434.4,11337,696801,
Usha Martin Ltd.,369.95,11274,721449,
JK Tyre & Industries Ltd.,431.1,11240,636112,
Can Fin Homes Ltd.,836.6,11140,442892,
Gujarat Pipavav Port Ltd.,227.24,10986,2560198,
Alkyl Amines Chemicals Ltd.,2137.15,10927,86745,
KNR Constructions Ltd.,388.4,10923,1438239,
Transformers & Rectifiers (India) Ltd.,725.4,10887,73710,
Sheela Foam Ltd.,998.3,10851,73529,
Glenmark Life Sciences Ltd.,884,10831,199931,
Ceat Ltd.,2675.5,10822,116138,
ISGEC Heavy Engineering Ltd.,1460.2,10737,287345,
Sapphire Foods India Ltd.,1678.15,10701,92942,
LT Foods Ltd.,307.85,10690,1941722,
Metropolis Healthcare Ltd.,2083.85,10678,73745,
RattanIndia Enterprises Ltd.,76.92,10632,1908632,
Vesuvius India Ltd.,5195.4,10545,20766,
Latent View Analytics Ltd.,509.35,10492,344268,
Safari Industries (India) Ltd.,2147.45,10473,316677,
Galaxy Surfactants Ltd.,2942.9,10434,19366,
Texmaco Rail & Engineering Ltd.,261.05,10428,2799552,
Thomas Cook (India) Ltd.,221.55,10421,3377896,
HG Infra Engineering Ltd.,1594.6,10392,101942,
Ion Exchange (India) Ltd.,706.95,10369,392015,
Just Dial Ltd.,1218.25,10360,369379,
Shree Renuka Sugars Ltd.,48.64,10353,14981482,
Inox Wind Energy Ltd.,8564,10318,10840,
Quess Corp Ltd.,692,10285,221948,
Maharashtra Scooters Ltd.,8939.05,10216,6806,
Jubilant Ingrevia Ltd.,640.2,10197,2988641,
Route Mobile Ltd.,1605.7,10082,67853,
Saregama India Ltd.,520.45,10035,1071133,
Graphite India Ltd.,512.6,10015,1151980,
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,679.45,9984,1761783,
JK Lakshmi Cement Ltd.,848.25,9981,281117,
Strides Pharma Science Ltd.,1080.8,9939,348677,
JM Financial Ltd.,103.31,9874,2705045,
Lloyds Engineering Works Ltd.,85.63,9801,6657654,
Redtape Ltd.,708,9785,255087,
Network18 Media & Investments Ltd.,93.28,9766,3908017,
Balrampur Chini Mills Ltd.,481.7,9718,2985921,
Varroc Engineering Ltd.,634.8,9699,126057,
MOIL Ltd.,474.35,9652,1088488,
Esab India Ltd.,6253.6,9626,2839,
Sammaan Capital Ltd.,166.35,9624,4253405,
Power Mech Projects Ltd.,6051.15,9566,57150,
Avanti Feeds Ltd.,700.25,9541,909157,
Archean Chemical Industries Ltd.,771.45,9519,569218,
Azad Engineering Ltd.,1609.8,9516,82966,
