Company Name ,Stock Price End of July,Market Capitalization,Volume ,Industry Name 
Stove Kraft Ltd.,587.95,1943,93228,
Jindal Drilling & Industries Ltd.,665.6,1929,89563,
I G Petrochemicals Ltd.,618.8,1906,50099,
Reliance Industrial InfraStructure Ltd.,1259.4,1902,141545,
Igarashi Motors India Ltd.,602,1895,130447,
DCM Shriram Industries Ltd.,217.2,1889,134991,
Peninsula Land Ltd.,64.14,1884,714341,
Ram Ratna Wires Ltd.,426.7,1877,65378,
Kokuyo Camlin Ltd.,186.73,1873,1065908,
GTPL Hathway Ltd.,165.88,1866,39347,
Subex Ltd.,33.13,1862,11698067,
Precision Camshafts Ltd.,195.79,1860,173841,
63 Moons Technologies Ltd.,403.4,1859,356854,
Pondy Oxides & Chemicals Ltd.,1471.6,1856,260583,
IRM Energy Ltd.,450.75,1851,65730,
Wonder Electricals Ltd.,1373.3,1840,60621,
Zota Healthcare Ltd.,690.75,1833,677300,
Everest Industries Ltd.,1160.35,1833,58295,
Shriram Properties Ltd.,107.4,1830,1032159,
Bigbloc Construction Ltd.,257.55,1823,127700,
Agarwal Industrial Corporation Ltd.,1217.55,1821,55532,
India Nippon Electricals Ltd.,804.65,1820,34038,
Madras Fertilizers Ltd.,112.88,1819,708303,
G M Breweries Ltd.,793.65,1813,69381,
The Hi-Tech Gears Ltd.,964.15,1810,8473,
GNA Axles Ltd.,421.6,1810,50762,
Mufin Green Finance Ltd.,111.12,1810,97084,
Rama Steel Tubes Ltd.,11.62,1806,47981424,
Amines & Plasticizers Ltd.,325.25,1790,41535,
BCL Industries Ltd.,60.02,1772,1500220,
Platinum Industries Ltd.,322.4,1771,4850711,
Swelect Energy Systems Ltd.,1167.25,1769,28131,
Eimco Elecon (India) Ltd.,3050.3,1760,3847,
Kiri Industries Ltd.,338.95,1757,109881,
Fairchem Organics Ltd.,1344.85,1751,27568,
Tamil Nadu Newsprint And Papers Ltd.,252.4,1747,154155,
Bharat Wire Ropes Ltd.,255.2,1745,476204,
Rico Auto Industries Ltd.,128.55,1739,1011859,
Borosil Scientific Ltd.,195.65,1737,170155,
Vascon Engineers Ltd.,78.02,1727,2659313,
Centrum Capital Ltd.,41.36,1721,855439,
Popular Vehicles and Services Ltd.,241.06,1716,130083,
Likhitha Infrastructure Ltd.,434.75,1715,114309,
Krishana Phoschem Ltd.,277.1,1713,45953,
Spacenet Enterprises India Ltd.,30.52,1705,14983105,
Excel Industries Ltd.,1352.9,1701,105918,
Windlas Biotech Ltd.,812.85,1699,62267,
Texmaco Infrastructure & Holdings Ltd.,132.69,1691,643085,
Southern Petrochemicals Industries Corporation Ltd.,82.98,1690,711452,
NIIT Ltd.,124.83,1689,3494495,
Dynacons Systems & Solutions Ltd.,1325.6,1685,39744,
Sportking India Ltd.,1317.2,1674,54180,
Tourism Finance Corporation of India Ltd.,179.9,1666,1149097,
Steel Exchange India Ltd.,13.89,1664,3755655,
Manali Petrochemicals Ltd.,95.55,1643,615588,
TV Today Network Ltd.,275.3,1643,1988549,
NGL Fine - Chem Ltd.,2653.1,1639,11010,
India Motor Parts & Accessories Ltd.,1308.3,1633,6508,
Yuken India Ltd.,1242.85,1616,33616,
Rishabh Instruments Ltd.,422.15,1613,51113,
Shankara Building Products Ltd.,664.6,1612,48573,
Allsec Technologies Ltd.,1051.8,1603,16314,
Mangalore Chemicals & Fertilizers Ltd.,134.8,1598,632846,
Automotive Stampings and Assemblies Ltd.,1004.05,1593,54946,
Punjab Chemicals and Crop Protection Ltd.,1291.55,1584,28243,
Salzer Electronics Ltd.,893.15,1579,62136,
Matrimony.com Ltd.,707.45,1575,214111,
GPT Healthcare Ltd.,191.47,1571,369957,
Heranba Industries Ltd.,392.35,1570,86175,
R K Swamy Ltd.,310.4,1567,367370,
Butterfly Gandhimathi Appliances Ltd.,875.85,1566,12336,
Andhra Sugars Ltd.,115.3,1563,272877,
SMC Global Securities Ltd.,149.14,1561,380510,
Kirloskar Electric Company Ltd.,233.15,1548,459278,
Oriental Aromatics Ltd.,459.5,1546,25887,
Dhunseri Ventures Ltd.,439.75,1540,440233,
Shree Digvijay Cement Company Ltd.,103.01,1518,406278,
5Paisa Capital Ltd.,486,1517,44701,
Kellton Tech Solutions Ltd.,155.52,1515,802847,
Kitex Garments Ltd.,227.63,1514,125989,
Mukka Proteins Ltd.,50.43,1513,1438449,
Macpower CNC Machines Ltd.,1506.15,1507,8135,
Associated Alcohols & Breweries Ltd.,833.1,1506,102536,
One Point One Solutions Ltd.,68.77,1502,1553874,
Wealth First Portfolio Managers Ltd.,1395.3,1487,116673,
Motisons Jewellers Ltd.,151.01,1487,288100,
Selan Exploration Technology Ltd.,977.45,1486,3998809,
Syncom Formulation (India) Ltd.,15.74,1480,4304348,
Capital Small Finance Bank Ltd.,328.15,1478,88857,
Saurashtra Cements Ltd.,131.39,1458,185178,
Xchanging Solutions Ltd.,130.55,1454,595956,
Allcargo Gati Ltd.,98.02,1441,700506,
Himatsingka Seide Ltd.,146.23,1440,969581,
Monte Carlo Fashions Ltd.,694.35,1440,50452,
Rane (Madras) Ltd.,883.1,1436,18958,
Best Agrolife Ltd.,603.35,1427,40073,
ICE Make Refrigeration Ltd.,903.15,1425,190865,
Hind Rectifiers Ltd.,830.25,1423,61356,
HLV Ltd.,21.58,1423,549339,
New Delhi Television Ltd.,218.18,1407,307531,
Kamdhenu Ltd.,506.3,1404,148635,
Kabra Extrusion Technik Ltd.,401.45,1404,49408,
Kuantum Papers Ltd.,159.2,1389,82067,
Max India Ltd.,319.75,1380,53305,
Dhampur Sugar Mills Ltd.,210.54,1377,488706,
Sterling Tools Ltd.,381.9,1376,53637,
Asian Energy Services Ltd.,333.6,1365,59748,
MSP Steel & Power Ltd.,35.19,1356,10513507,
Dynamic Cables Ltd.,558.35,1353,53392,
GIC Housing Finance Ltd.,251.2,1353,409288,
Ester Industries Ltd.,143.95,1352,365199,
Dwarikesh Sugar Industries Ltd.,72.67,1347,1016773,
Steel Cast Ltd.,664.95,1346,52583,
Control Print Ltd.,838.9,1342,18995,
NACL Industries Ltd.,66.78,1331,142056,
Faze Three Ltd.,546.45,1329,151795,
Snowman Logistics Ltd.,79.19,1323,1806637,
Ramco Systems Ltd.,357.3,1323,38493,
Lincoln Pharmaceuticals Ltd.,656.4,1315,54023,
Arihant Superstructures Ltd.,319.3,1314,32156,
GRM Overseas Ltd.,218.63,1312,966424,
BEML Land Assets Ltd.,314.95,1312,251383,
AVT Natural Products Ltd.,86.09,1311,99024,
Sandesh Ltd.,1728.45,1308,16031,
Aptech Ltd.,223.32,1295,322399,
Hexa Tradex Ltd.,234.07,1293,89099,
Chemfab Alkalis Ltd.,905.55,1293,14281,
Transindia Real Estate Ltd.,52.59,1292,3671504,
State Trading Corporation Of India Ltd.,214.07,1284,439026,
Signpost India Ltd.,238.83,1277,39748,
Nahar Spinning Mills Ltd.,353.5,1275,120608,
Crest Ventures Ltd.,447.65,1274,75507,
Vardhman Holdings Ltd.,3982.5,1271,3262,
Raj Rayon Industries Ltd.,22.8,1268,46699,
Jay Bharat Maruti Ltd.,117.12,1268,376960,
NDR Auto Components Ltd.,1061.3,1262,78273,
Avadh Sugar & Energy Ltd.,630.1,1261,65550,
Ksolves India Ltd.,1063.2,1261,18950,
Allcargo Terminals Ltd.,51.25,1259,657978,
Nelcast Ltd.,144.7,1259,70952,
Kamdhenu Ventures Ltd.,40.04,1259,4706475,
Shalimar Paints Ltd.,150.18,1257,220087,
Century Enka Ltd.,574.85,1256,23509,
Uttam Sugar Mills Ltd.,327.15,1248,107832,
Satia Industries Ltd.,124.44,1244,156603,
Ganesh Benzoplast Ltd.,172.29,1240,332774,
Kopran Ltd.,255.6,1232,168466,
Bliss GVS Pharma Ltd.,116.69,1225,384928,
Indo Rama Synthetics (India) Ltd.,46.89,1224,207296,
Chaman Lal Setia Exports Ltd.,236.62,1224,522073,
Ravindra Energy Ltd.,79.35,1224,61977,
Gulshan Polyols Ltd.,195.59,1220,175540,
Prakash Pipes Ltd.,499.6,1195,130942,
Arrow Greentech Ltd.,786.1,1186,289254,
Allied Digital Services Ltd.,213.47,1183,650672,
RSWM Ltd.,250.65,1181,210437,
Pudumjee Paper Products Ltd.,124.18,1179,663566,
Manoj Vaibhav Gems N Jewellers Ltd.,240.69,1176,237814,
J G Chemicals Ltd.,300,1176,766813,
Urja Global Ltd.,21.07,1174,2626624,
Vimta Labs Ltd.,523.7,1161,41280,
Filatex Fashions Ltd.,6.96,1160,13987703,
Dhanlaxmi Bank Ltd.,45.81,1159,5208547,
Sat Industries Ltd.,102.07,1154,451340,
Foods & Inns Ltd.,157.54,1150,579714,
Ambika Cotton Mills Ltd.,1994.1,1142,16914,
Electrotherm (India) Ltd.,894.3,1140,3371,
Uniphos Enterprises Ltd.,162.89,1133,18308,
Pakka Ltd.,284.2,1120,433974,
Mindteck (India) Ltd.,438.55,1116,100204,
Entertainment Network (India) Ltd.,234.05,1116,181172,
Heubach Colorants India Ltd.,483,1115,30900,
Dharmaj Crop Guard Ltd.,329.75,1114,842774,
Zuari Industries Ltd.,373.95,1114,93772,
Orient Paper & Industries Ltd.,52.47,1113,1432851,
Kriti Industries (India) Ltd.,224.4,1113,115484,
Windsor Machines Ltd.,169.46,1100,157888,
Zodiac Energy Ltd.,750.05,1100,9948,
Valiant Organics Ltd.,397.2,1095,44993,
SPML Infra Ltd.,185.45,1094,65139,
Sutlej Textiles & Industries Ltd.,66.64,1092,293825,
Indo Amines Ltd.,154.39,1091,347649,
Munjal Auto Industries Ltd.,108.89,1089,1876024,
Kernex Microsystems (India) Ltd.,648.95,1088,272090,
Magadh Sugar & Energy Ltd.,771.3,1087,40194,
Coffee Day Enterprises Ltd.,51.17,1081,1460263,
CSL Finance Ltd.,469.8,1070,52467,
VLS Finance Ltd.,302.35,1052,56097,
InfoBeans Technologies Ltd.,430.55,1049,15434,
AGI Infra Ltd.,857.05,1047,756,
Bodal Chemicals Ltd.,83.07,1045,1846695,
Ind-Swift Laboratories Ltd.,176.61,1044,5610888,
NCL Industries Ltd.,230.2,1041,144627,
Essar Shipping Ltd.,50.23,1040,1092051,
Ritco Logistics Ltd.,366.8,1039,376054,
Gandhi Special Tubes Ltd.,854.75,1039,20375,
Asian Granito India Ltd.,81.88,1038,14495712,
Sree Rayalaseema Hi-Strength Hypo Ltd.,603.8,1036,30244,
Credo Brands Marketing Ltd.,159.5,1029,131767,
AGS Transact Technologies Ltd.,84.59,1027,446718,
Hardwyn India Ltd.,29.37,1025,154877,
Rushil Decor Ltd.,374.55,1024,1516979,
Bajaj Healthcare Ltd.,370.95,1024,159994,
Krystal Integrated Services Ltd.,732.65,1024,30741,
Creative Newtech Ltd.,722.1,1019,25849,
Elin Electronics Ltd.,204.79,1017,399981,
20 Microns Ltd.,287.75,1015,1741393,
Jagsonpal Pharmaceuticals Ltd.,383.05,1013,29958,
Tracxn Technologies Ltd.,96.86,1012,1419262,
W S Industries (India) Ltd.,165.59,1008,171552,
Kothari Petrochemicals Ltd.,170.83,1005,583330,
Eldeco Housing & Industries Ltd.,1019.8,1003,35724,
Silver Touch Technologies Ltd.,789.95,1002,21733,
GHCL Textiles Ltd.,104.62,1000,3941243,
Shivalik Rasayan Ltd.,640.4,996,22208,
Sastasundar Ventures Ltd.,311.35,990,34141,
Deccan Cements Ltd.,702.35,984,37544,
Chemcon Speciality Chemicals Ltd.,267.85,981,63217,
Sakuma Exports Ltd.,31.04,973,2400382,
Royal Orchid Hotels Ltd.,354.25,972,48927,
Onward Technologies Ltd.,429.1,970,37869,
Visaka Industries Ltd.,111.8,966,249702,
Tribhovandas Bhimji Zaveri Ltd.,144.03,961,1030851,
Career Point Ltd.,527.6,960,39408,
HP Adhesives Ltd.,102.81,945,320794,
Vikas Lifecare Ltd.,5.05,938,8357642,
Repro India Ltd.,655.9,938,73135,
Aditya Birla Money Ltd.,165.6,936,212027,
DiGiSPICE Technologies Ltd.,40.16,934,204835,
Zuari Agro Chemicals Ltd.,221.91,933,358324,
Renaissance Global Ltd.,96.6,929,183001,
Jindal Poly Investment & Finance Company Ltd.,875.1,920,13798,
Ratnaveer Precision Engineering Ltd.,189.22,918,680589,
Liberty Shoes Ltd.,538.55,918,81474,
Sarla Performance Fibers Ltd.,109.79,917,869147,
Ugar Sugar Works Ltd.,81.4,916,189462,
TPL Plastech Ltd.,117.21,914,425633,
VL E-Governance & IT Solutions Ltd.,86.28,914,367916,
Zee Media Corporation Ltd.,14.59,913,6542506,
Radiant Cash Management Services Ltd.,84.92,906,292569,
Andhra Cements Ltd.,98.28,906,79840,
Radhika Jeweltech Ltd.,76.71,905,4351251,
Jindal Photo Ltd.,880.85,904,49045,
Nintec Systems Ltd.,486.3,903,6990,
The Investment Trust of India Ltd.,172.82,903,15833,
Dhunseri Investments Ltd.,1478.85,902,3792,
Tamilnadu Petroproducts Ltd.,100.07,900,774454,
Linc Ltd.,605.25,900,9819,
SBC Exports Ltd.,28.29,898,1895607,
Gloster Ltd.,814.8,892,5308,
Khaitan Chemicals & Fertilizers Ltd.,91.74,890,13032678,
Sarveshwar Foods Ltd.,9.09,890,2768406,
Birla Cable Ltd.,296.35,889,234168,
Apex Frozen Foods Ltd.,284.2,888,254073,
De Nora India Ltd.,1667.2,885,15933,
Dhampur Bio Organics Ltd.,133.18,884,86337,
Chembond Chemicals Ltd.,656.35,883,13852,
Jayant Agro Organics Ltd.,292.9,879,113958,
Ruby Mills Ltd.,262.41,877,1610192,
OnMobile Global Ltd.,82.22,874,1996337,
Global Surfaces Ltd.,204.47,867,86224,
MMP Industries Ltd.,340.1,864,81729,
GVK Power & Infrastructure Ltd.,5.47,864,1990501,
Prime Securities Ltd.,257.2,863,77220,
Hindustan Composites Ltd.,580.6,857,12237,
Shree Pushkar Chemicals & Fertilisers Ltd.,264.95,857,418199,
GFL Ltd.,77.64,853,46657,
Panacea Biotec Ltd.,138.76,850,98027,
Mallcom (India) Ltd.,1349.25,842,6310,
Speciality Restaurants Ltd.,173.22,833,36241,
Simplex Infrastructures Ltd.,145.7,833,103292,
STEL Holdings Ltd.,449.7,830,24994,
Emami Paper Mills Ltd.,136.93,828,74944,
Ashima Ltd.,42.74,819,571945,
Shreyas Shipping & Logistics Ltd.,371.25,815,62361,
Cheviot Company Ltd.,1389.95,812,3235,
Plastiblends India Ltd.,309.85,805,26867,
S Chand & Company Ltd.,228.23,804,54560,
RPP Infra Projects Ltd.,209.83,799,1035814,
Arihant Capital Markets Ltd.,76.55,797,483080,
Viceroy Hotels Ltd.,126.09,796,6140,
Khadim India Ltd.,432.75,795,99095,
GeeCee Ventures Ltd.,379.65,794,9181,
Sukhjit Starch & Chemicals Ltd.,506.25,791,15206,
N R Agarwal Industries Ltd.,460.9,784,8392,
Focus Lighting and Fixtures Ltd.,118.15,783,450131,
Donear Industries Ltd.,149.88,779,963436,
Lokesh Machines Ltd.,419.7,776,19296,
Hindustan Motors Ltd.,36.9,770,4249773,
Spencers Retail Ltd.,84.2,759,245421,
Parsvnath Developers Ltd.,17.43,759,9488389,
Nova Agritech Ltd.,81.97,758,2013274,
Nahar Poly Films Ltd.,306.45,753,37317,
Goa Carbons Ltd.,821.95,752,257715,
Menon Bearings Ltd.,133.28,747,128053,
Aurum Proptech Ltd.,186.99,747,1031625,
Vraj Iron & Steel Ltd.,226.31,746,202659,
Bhageria Industries Ltd.,170.7,745,35632,
Hindustan Media Ventures Ltd.,100.64,741,67642,
Sreeleathers Ltd.,319.15,739,42690,
Vinyl Chemicals (I) Ltd.,402.55,738,27840,
Balaji Telefilms Ltd.,72.64,738,741731,
Kaya Ltd.,563.8,737,14718,
Inspirisys Solutions Ltd.,184.55,731,121454,
Maan Aluminium Ltd.,134.81,729,94937,
PVP Ventures Ltd.,27.78,723,1736603,
Rane Brake Lining Ltd.,933.7,722,12119,
DMCC Speciality Chemicals Ltd.,289.35,722,17368,
Albert David Ltd.,1260.9,720,10604,
AYM Syntex Ltd.,141.54,718,200279,
Advani Hotels & Resorts (India) Ltd.,77.35,715,591665,
Mold-Tek Technologies Ltd.,250.25,715,110258,
Alankit Ltd.,26.3,713,2401354,
MBL Infrastructure Ltd.,64.97,713,110923,
Sakar Healthcare Ltd.,332.65,710,24552,
Nectar Lifesciences Ltd.,31.64,710,680743,
Munjal Showa Ltd.,177.31,709,367190,
Nandan Denim Ltd.,48.98,706,1374210,
Vikas Ecotech Ltd.,3.99,706,29558308,
TVS Electronics Ltd.,378.1,705,105098,
RS Software (India) Ltd.,274.2,705,83265,
Wanbury Ltd.,214.93,704,305015,
Tantia Constructions Ltd.,45.34,703,13647,
Nagarjuna Fertilizers and Chemicals Ltd.,11.71,700,847812,
Bedmutha Industries Ltd.,215.91,697,11810,
Davangere Sugar Company Ltd.,7.39,695,14812973,
SKM Egg Products Export (India) Ltd.,263.75,694,70425,
Pyramid Technoplast Ltd.,188.37,693,252524,
Race Eco Chain Ltd.,420.6,691,16735,
Axita Cotton Ltd.,26.43,690,9359745,
D P Wires Ltd.,444.4,689,22912,
IZMO Ltd.,485.85,687,49349,
Nahar Industrial Enterprises Ltd.,158.18,683,236713,
AVG Logistics Ltd.,490.15,669,11751,
Shivam Autotech Ltd.,54.47,666,1508114,
Consolidated Finvest & Holdings Ltd.,205.5,664,22233,
Brand Concepts Ltd.,586.35,654,22861,
Balaxi Pharmaceuticals Ltd.,117.34,648,70079,
FCS Software Solutions Ltd.,3.77,645,6010104,
Bartronics India Ltd.,21.1,643,2189540,
Oswal Agro Mills Ltd.,47.68,640,223061,
Mirza International Ltd.,46.17,638,176975,
Manaksia Ltd.,96.55,633,52940,
Remsons Industries Ltd.,180.65,630,27069,
Tara Chand InfraLogistic Solutions Ltd.,406.5,629,54361,
Oricon Enterprises Ltd.,40.05,629,785406,
HT Media Ltd.,26.99,628,564228,
Uravi T & Wedge Lamps Ltd.,567.85,625,4991,
Laxmi Goldorna House Ltd.,298.05,622,947,
SRM Contractors Ltd.,269.5,618,271261,
SIL Investments Ltd.,580.2,615,48280,
Asahi Songwon Colors Ltd.,518.35,611,26837,
BPL Ltd.,124.49,610,87813,
Kothari Products Ltd.,203.25,607,39888,
Almondz Global Securities Ltd.,36.47,606,4024065,
Indo Borax & Chemicals Ltd.,188.59,605,44692,
3i Infotech Ltd.,35.69,604,1040424,
Nupur Recyclers Ltd.,87.6,601,83685,
NBI Industrial Finance Company Ltd.,2446.35,601,825,
Kriti Nutrients Ltd.,119.57,599,93838,
PTL Enterprises Ltd.,45.18,598,194571,
Kilitch Drugs(I) Ltd.,371.65,598,16855,
Kamat Hotels (India) Ltd.,224.36,595,48423,
Orient Ceratech Ltd.,49.55,593,228943,
TRF Ltd.,538.6,593,47255,
Precot Ltd.,491.45,590,3424,
Genus Paper & Boards Ltd.,22.79,586,892786,
Orient Bell Ltd.,399.9,584,57103,
Valiant Laboratories Ltd.,134.01,582,278031,
Nitco Ltd.,80.45,578,1016925,
KCP Sugar & Industries Corporation Ltd.,50.8,576,1323481,
Banswara Syntex Ltd.,168.08,575,67346,
Pavna Industries Ltd.,469.45,572,14457,
Music Broadcast Ltd.,16.51,571,1127904,
Cybertech Systems & Software Ltd.,182.96,570,158450,
Kronox Lab Sciences Ltd.,153.44,569,180908,
Anjani Portland Cement Ltd.,193.62,569,26933,
Diamines & Chemicals Ltd.,581,568,19515,
Mazda Ltd.,1418.25,568,4953,
Venus Remedies Ltd.,420.95,563,118565,
Autoline Industries Ltd.,143.35,559,670336,
TruCap Finance Ltd.,47.71,558,2764373,
HCL Infosystems Ltd.,16.91,557,251084,
Muthoot Capital Services Ltd.,338.05,556,36835,
Kanoria Chemicals & Industries Ltd.,127.25,556,44766,
Zim Laboratories Ltd.,113.83,555,94770,
Deep Energy Resources Ltd.,171.85,550,34530,
DIC India Ltd.,597,548,58800,
DC Infotech and Communication Ltd.,419.6,545,15888,
Medicamen Biotech Ltd.,427.6,544,17479,
Nahar Capital & Financial Services Ltd.,324.15,543,7437,
Aarti Surfactants Ltd.,637.2,539,30982,
Vipul Ltd.,38.21,539,1482576,
IRIS Business Services Ltd.,270,537,9379,
Sinclairs Hotels Ltd.,104.6,536,52340,
Bhartiya International Ltd.,436.7,533,6766,
SRG Housing Finance Ltd.,393,531,6930,
RBZ Jewellers Ltd.,131.7,527,42684,
IRIS Clothings Ltd.,64.39,525,102690,
Nila Infrastructures Ltd.,13.31,524,857523,
International Conveyors Ltd.,82.68,524,175084,
Megasoft Ltd.,71.03,524,163597,
Manomay Tex India Ltd.,290.05,524,293952,
Kritika Wires Ltd.,19.57,521,277706,
Geekay Wires Ltd.,99.2,518,524142,
IFB Agro Industries Ltd.,553.15,518,1269,
Orbit Exports Ltd.,195.47,517,81207,
UFO Moviez India Ltd.,133.9,517,805467,
Modison Ltd.,159.1,516,82982,
Reliance Communications Ltd.,1.85,512,9318813,
Vibhor Steel Tubes Ltd.,268.3,509,4806,
Vardhman Acrylics Ltd.,63.05,507,85921,
B&B Triplewall Containers Ltd.,244.77,502,1738,
Sadbhav Engineering Ltd.,29.08,499,1956305,
United Drilling Tools Ltd.,245.66,499,26456,
MIRC Electronics Ltd.,21.56,498,586894,
Prozone Realty Ltd.,31.93,487,610508,
Synergy Green Industries Ltd.,344.25,486,11442,
Kothari Sugars & Chemicals Ltd.,58.67,486,296237,
Manaksia Coated Metals & Industries Ltd.,65.13,484,10459,
Akme Fintrade (India) Ltd.,113.26,483,313248,
Pritika Auto Industries Ltd.,29.79,482,1475336,
CL Educate Ltd.,88.7,480,97059,
Industrial Investment Trust Ltd.,209.77,473,1288428,
Premier Polyfilm Ltd.,223.5,468,60941,
Kapston Services Ltd.,460.7,467,23435,
Sakthi Sugars Ltd.,38.97,463,538377,
Dynemic Products Ltd.,372.35,463,5572,
SoftTech Engineers Ltd.,361,463,2410,
AION-TECH Solutions Ltd.,133.73,462,66467,
IL&FS Investment Managers Ltd.,14.63,459,680276,
Ponni Sugars (Erode) Ltd.,533.55,459,26074,
Jet Airways (India) Ltd.,40.08,455,41337,
Harrisons Malayalam Ltd.,246.5,455,61782,
Elgi Rubber Company Ltd.,90,450,11221,
M K Proteins Ltd.,11.98,450,28996,
Poddar Pigments Ltd.,423.3,449,9421,
S & S Power Switchgear Ltd.,362.9,448,3032,
Nath Bio-Genes (India) Ltd.,235.09,447,22133,
Mawana Sugars Ltd.,114.05,446,156580,
Emkay Global Financial Services Ltd.,179.88,446,29802,
DCM Nouvelle Ltd.,236.94,443,13493,
Sheetal Cool Products Ltd.,419.35,440,17339,
Shemaroo Entertainment Ltd.,160.8,438,276712,
The Byke Hospitality Ltd.,83.79,438,10331,
Sahyadri Industries Ltd.,399.9,438,12323,
Hitech Corporation Ltd.,253.91,436,83510,
Indo National Ltd.,577.05,433,5636,
Mangalam Global Enterprise Ltd.,26.2,432,140972,
Integra Essentia Ltd.,3.98,425,5328385,
Bharat Road Network Ltd.,50.27,422,14981,
Country Club Hospitality & Holidays Ltd.,25.67,420,14228,
Gokul Refoils & Solvent Ltd.,42.17,417,133293,
Cineline India Ltd.,127.79,415,38432,
Sigma Solve Ltd.,402.55,414,3226,
Udayshivakumar Infra Ltd.,74.57,413,114858,
Plaza Wires Ltd.,94.02,411,657362,
Coastal Corporation Ltd.,304.6,410,56336,
Global Vectra Helicorp Ltd.,292.1,409,3434,
Universus Photo Imagings Ltd.,372.45,408,348,
Apollo Sindoori Hotels Ltd.,1555.95,405,2325,
Atlantaa Ltd,49.6,404,12129,
Ruchira Papers Ltd.,134.84,402,70961,
Trigyn Technologies Ltd.,130.1,401,43569,
Lyka Labs Ltd.,120.68,399,132174,
Exxaro Tiles Ltd.,88.81,397,119805,
Shreyans Industries Ltd.,287.1,397,22104,
Mangalam Organics Ltd.,462.15,396,43515,
Asian Hotels (North) Ltd.,199.86,389,8133,
Robust Hotels Ltd.,223.89,387,37154,
Aries Agro Ltd.,297.5,387,199591,
Aban Offshore Ltd.,66.08,386,47800,
GP Petroleums Ltd.,75.23,384,296665,
Indowind Energy Ltd.,29.69,382,774540,
Rana Sugars Ltd.,24.9,382,678486,
Global Education Ltd.,187.54,382,37606,
Mahindra EPC Irrigation Ltd.,136.62,382,25579,
Lorenzini Apparels Ltd.,22.89,381,59185,
Star Paper Mills Ltd.,242.16,378,10835,
Shyam Century Ferrous Ltd.,17.71,376,167664,
IL&FS Engineering & Construction Company Ltd.,28.63,375,16764,
Bannari Amman Spinning Mills Ltd.,57.88,375,633879,
KM Sugar Mills Ltd.,40.68,374,113399,
Rajnandini Metal Ltd.,13.41,371,1525134,
Euro India Fresh Foods Ltd.,149.22,370,31627,
VIP Clothing Ltd.,44.6,368,106719,
Airan Ltd.,29.38,367,264799,
Manaksia Steels Ltd.,55.85,366,56872,
NDL Ventures Ltd.,107.38,362,31540,
Shree Rama Multi-Tech Ltd.,27,361,33919,
A2Z Infra Engineering Ltd.,20.44,360,174238,
Emami Realty Ltd.,95.11,360,31223,
UCAL Ltd.,162.54,359,22384,
Intense Technologies Ltd.,152.43,358,24730,
Sejal Glass Ltd.,353.35,357,4588,
Jay Shree Tea & Industries Ltd.,123.33,356,248035,
Pasupati Acrylon Ltd.,39.95,356,179008,
Sintercom India Ltd.,129.32,356,29781,
DRC Systems India Ltd.,26.78,355,90488,
Magnum Ventures Ltd.,52.98,352,133433,
Ruchi Infrastructure Ltd.,15.94,351,554587,
Bhagyanagar India Ltd.,109.64,351,70805,
Sumit Woods Ltd.,86.1,349,10458,
Murudeshwar Ceramics Ltd.,57.46,348,176779,
Virinchi Ltd.,34.14,348,741786,
Nila Spaces Ltd.,8.77,345,58006,
DJ Mediaprint & Logistics Ltd.,315.35,341,5398,
Megastar Foods Ltd.,300.6,339,6549,
Surana Telecom and Power Ltd.,24.97,339,198627,
Zodiac Clothing Company Ltd.,130.35,339,35433,
Zee Learn Ltd.,10.39,339,2636345,
Rama Phosphates Ltd.,191.34,339,16533,
Osia Hyper Retail Ltd.,25.29,337,290657,
Veto Switchgears & Cables Ltd.,175.72,336,1004463,
Lords Chloro Alkali Ltd.,132.99,335,10711,
Raj Television Network Ltd.,64.26,334,18541,
BGR Energy Systems Ltd.,44.61,322,125066,
Maral Overseas Ltd.,77.49,322,190302,
Vishwaraj Sugar Industries Ltd.,17.07,321,1281272,
Lancor Holdings Ltd.,43.67,319,39025,
Crown Lifters Ltd.,282.45,317,2289,
Sundaram Brake Lining Ltd.,800.55,315,2859,
Medico Remedies Ltd.,37.81,314,132879,
Naga Dhunseri Group Ltd.,3122,312,177,
Gujarat Apollo Industries Ltd.,263.25,311,7967,
Welspun Investments & Commercials Ltd.,845.4,309,868,
Rudrabhishek Enterprises Ltd.,177.66,308,18551,
Pil Italica Lifestyle Ltd.,13.04,306,393047,
Shree Rama Newsprint Ltd.,20.77,306,100794,
Oriental Carbon & Chemicals Ltd.,306.65,306,53000,
Uma Exports Ltd.,90.33,305,61935,
Indian Terrain Fashions Ltd.,68.93,305,355233,
Dev Information Technology Ltd.,134.42,302,47283,
Loyal Textiles Mills Ltd.,627.4,302,9574,
PPAP Automotive Ltd.,214.48,300,30903,
Smartlink Holdings Ltd.,300,299,501,
Alphageo (India) Ltd.,467.45,298,12691,
Inventure Growth & Securities Ltd.,2.83,297,5362971,
Lagnam Spintex Ltd.,167.51,296,69443,
Nitiraj Engineers Ltd.,288.15,295,1082,
AksharChem (India) Ltd.,366.05,294,59126,
South West Pinnacle Exploration Ltd.,104.95,293,30718,
Par Drugs & Chemicals Ltd.,236.73,291,9625,
Commercial Syn Bags Ltd.,72.87,291,47681,
Take Solutions Ltd.,19.66,291,156118,
SMS Lifesciences India Ltd.,961.4,291,2345,
Aaron Industries Ltd.,277.15,290,13804,
Cords Cable Industries Ltd.,224.47,290,27292,
